"filename", "language", "Python", "Ignore", "Ini", "Shell Script", "YAML", "Markdown", "Docker", "pip requirements", "JavaScript", "CSS", "XML", "JSON", "HTML", "CSV", "comment", "blank", "total"
"d:\IMDB\Licenta\client\src\containers\Login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 8, 61
"d:\IMDB\Licenta\client\src\containers\NotFoundPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\IMDB\Licenta\client\src\containers\ProfileDetails.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"d:\IMDB\Licenta\client\src\containers\Register.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"d:\IMDB\Licenta\client\src\containers\SearchPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 5, 40
"d:\IMDB\Licenta\client\src\context\AlbumContext.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"d:\IMDB\Licenta\client\src\context\ArtistContext.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"d:\IMDB\Licenta\client\src\context\RatingContext.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 6, 18
"d:\IMDB\Licenta\client\src\context\StarContext.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"d:\IMDB\Licenta\client\src\context\UserContext.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 11, 59
"d:\IMDB\Licenta\client\src\images\Simple Shiny.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\IMDB\Licenta\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"d:\IMDB\Licenta\client\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 3, 19
"d:\IMDB\Licenta\client\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\IMDB\Licenta\client\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\IMDB\Licenta\client\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"d:\IMDB\Licenta\client\src\utils\config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\IMDB\Licenta\client\src\utils\util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\IMDB\Licenta\docker-compose-up.sh", "Shell Script", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"d:\IMDB\Licenta\docker-compose.yml", "YAML", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"Total", "-", 1655, 4, 38, 21, 47, 38, 17, 54, 1173, 103, 33, 32149, 27, 7331, 526, 827, 44043
